time (s)	det(V)
7770.160819	-1.617583	
7770.162553	-1.617652	
7770.164075	-1.617656	
7770.165818	-1.617781	
7770.167298	-1.617700	
7770.169056	-1.617668	
7770.170532	-1.617764	
7770.172308	-1.617680	
7770.173793	-1.617942	
7770.175580	-1.617922	
7770.177065	-1.617793	
7770.178852	-1.617958	
7770.180350	-1.618022	
7770.182102	-1.618151	
7770.183619	-1.618272	
7770.185179	-1.618224	
7770.186734	-1.618292	
7770.188234	-1.618244	
7770.189888	-1.618240	
7770.191379	-1.618208	
7770.193031	-1.618147	
7770.194555	-1.618272	
7770.196187	-1.618183	
7770.197663	-1.618212	
7770.199297	-1.618119	
7770.200779	-1.618256	
7770.202407	-1.618264	
7770.203909	-1.618264	
7770.205613	-1.618107	
7770.207109	-1.618284	
7770.208792	-1.618075	
7770.210292	-1.618377	
7770.211945	-1.618163	
7770.213468	-1.618272	
7770.215102	-1.618067	
7770.216656	-1.618188	
7770.218233	-1.618155	
7770.219817	-1.618244	
7770.221466	-1.618103	
7770.223071	-1.618200	
7770.224692	-1.617974	
7770.226304	-1.618252	
7770.227921	-1.618026	
7770.229563	-1.618272	
7770.231172	-1.618079	
7770.232836	-1.618191	
7770.234425	-1.618075	
7770.236117	-1.618236	
7770.237684	-1.618095	
7770.239397	-1.618300	
7770.240952	-1.617958	
7770.242657	-1.618171	
7770.244200	-1.618155	
7770.245917	-1.618135	
7770.247473	-1.618147	
7770.249200	-1.618196	
7770.250708	-1.618095	
7770.252443	-1.618143	
7770.253922	-1.618191	
7770.255687	-1.618107	
7770.257166	-1.618163	
7770.258954	-1.618079	
7770.260443	-1.617857	
7770.262217	-1.617934	
7770.263699	-1.617849	
7770.265474	-1.617845	
7770.266974	-1.617809	
7770.268732	-1.617845	
7770.270243	-1.617849	
7770.271960	-1.617724	
7770.273484	-1.617873	
7770.275215	-1.617845	
7770.276748	-1.617805	
7770.278439	-1.617571	
7770.279993	-1.617789	
7770.281681	-1.617640	
7770.283250	-1.617736	
7770.284915	-1.617563	
7770.286508	-1.617773	
7770.288133	-1.617519	
7770.289739	-1.617732	
7770.291373	-1.617571	
7770.292980	-1.617684	
7770.294592	-1.617571	
7770.296245	-1.617732	
7770.297844	-1.617672	
7770.299502	-1.617752	
7770.301080	-1.617527	
7770.302769	-1.617632	
7770.304334	-1.617615	
7770.306040	-1.617712	
7770.307598	-1.617611	
7770.309287	-1.617636	
7770.310857	-1.617080	
7770.312579	-1.560486	
7770.314065	-1.438690	
7770.315640	-1.341152	
7770.317121	-1.260706	
7770.318732	-1.179503	
7770.320245	-1.079271	
7770.321797	-0.996960	
7770.323378	-0.922666	
7770.324871	-0.849709	
7770.326527	-0.780563	
7770.328018	-0.736368	
7770.329648	-0.688004	
7770.331167	-0.636683	
7770.332798	-0.589407	
7770.334272	-0.553273	
7770.336002	-0.493915	
7770.337470	-0.437966	
7770.339181	-0.398795	
7770.340659	-0.369940	
7770.342354	-0.332142	
7770.343831	-0.304419	
7770.345535	-0.290010	
7770.347032	-0.279492	
7770.348688	-0.241155	
7770.350207	-0.224723	
7770.351935	-0.200086	
7770.353468	-0.161458	
7770.355180	-0.134851	
7770.356711	-0.117437	
7770.358393	-0.093227	
7770.359948	-0.076952	
7770.361631	-0.073621	
7770.363211	-0.067921	
7770.364850	-0.051723	
7770.366434	-0.040669	
7770.368072	-0.040347	
7770.369693	-0.007218	
7770.371312	0.017351	
7770.372936	0.028018	
7770.374545	0.048212	
7770.376216	0.068990	
7770.377804	0.065723	
7770.379467	0.054077	
7770.381059	0.067640	
7770.382720	0.078360	
7770.384292	0.065441	
7770.385996	0.092165	
7770.387553	0.113406	
7770.389266	0.121068	
7770.390802	0.131409	
7770.392516	0.136657	
7770.394022	0.144186	
7770.395769	0.134696	
7770.397246	0.126804	
7770.399036	0.136658	
7770.400525	0.136786	
7770.402324	0.136907	
7770.403808	0.163305	
7770.405578	0.177062	
7770.407051	0.168497	
7770.408785	0.174226	
7770.410284	0.180478	
7770.412021	0.163341	
7770.413534	0.159776	
7770.415261	0.167434	
7770.416791	0.158882	
7770.418515	0.150426	
7770.420058	0.172167	
7770.421760	0.195322	
7770.423308	0.186117	
7770.424984	0.189312	
7770.426553	0.196305	
7770.428220	0.173730	
7770.429817	0.171398	
7770.431474	0.162769	
7770.433075	0.169142	
7770.434728	0.159579	
7770.436330	0.168683	
7770.437967	0.186460	
7770.439599	0.185791	
7770.441183	0.185501	
7770.442842	0.187962	
7770.444319	0.193094	
7770.445900	0.165500	
7770.447387	0.164268	
7770.449027	0.162596	
7770.450511	0.156312	
7770.452121	0.164433	
7770.453636	0.174218	
7770.455207	0.182447	
7770.456766	0.179547	
7770.458267	0.178455	
7770.459921	0.185779	
7770.461412	0.162552	
7770.463050	0.156948	
7770.464595	0.154294	
7770.466269	0.153307	
7770.467749	0.141955	
7770.469446	0.154209	
7770.470928	0.162620	
7770.472645	0.171301	
7770.474129	0.166314	
7770.475852	0.167406	
7770.477346	0.159607	
7770.479050	0.150978	
7770.480532	0.135074	
7770.482323	0.143828	
7770.483798	0.126889	
7770.485584	0.130792	
7770.487064	0.148944	
7770.488854	0.146861	
7770.490341	0.145302	
7770.492108	0.141902	
7770.493608	0.142563	
7770.495347	0.129737	
7770.496870	0.114075	
7770.498583	0.116834	
7770.500107	0.116500	
7770.501812	0.108967	
7770.503362	0.115154	
7770.505076	0.139779	
7770.506635	0.120677	
7770.508322	0.131123	
7770.509880	0.128895	
7770.511555	0.120017	
7770.513133	0.096616	
7770.514784	0.101744	
7770.516391	0.098397	
7770.518016	0.085139	
7770.519624	0.101124	
7770.521258	0.113829	
7770.522911	0.116842	
7770.524523	0.116029	
7770.526196	0.118780	
7770.527769	0.112568	
7770.529450	0.085997	
7770.531018	0.087556	
7770.532702	0.088878	
7770.534265	0.084837	
7770.535945	0.083089	
7770.537499	0.105478	
7770.539203	0.100040	
7770.540723	0.099041	
7770.542463	0.108334	
7770.543941	0.102143	
7770.545707	0.078078	
7770.547190	0.077965	
7770.548955	0.079516	
7770.550433	0.070283	
7770.552201	0.079294	
7770.553696	0.086859	
7770.555458	0.097994	
7770.556951	0.080648	
7770.558708	0.089611	
7770.560216	0.094566	
7770.561940	0.079685	
7770.563463	0.059519	
7770.565170	0.067105	
7770.566713	0.061936	
7770.568426	0.054077	
7770.569972	0.068313	
7770.571664	0.078126	
7770.573232	0.070492	
7770.574911	0.076616	
7770.576509	0.083923	
7770.577991	0.071314	
7770.579628	0.049231	
7770.581149	0.053590	
7770.582786	0.053239	
7770.584261	0.048788	
7770.585905	0.053803	
7770.587384	0.063725	
7770.589024	0.060136	
7770.590505	0.064764	
7770.592129	0.071979	
7770.593636	0.060393	
7770.595212	0.063548	
7770.596764	0.042890	
7770.598380	0.041932	
7770.599944	0.035551	
7770.601525	0.028203	
7770.603135	0.036912	
7770.604697	0.054677	
7770.606300	0.054935	
7770.607814	0.045964	
7770.609485	0.057416	
7770.610974	0.051374	
7770.612717	0.030447	
7770.614277	0.027764	
7770.615994	0.027430	
7770.617540	0.018334	
7770.619242	0.015828	
7770.620787	0.028767	
7770.622476	0.030201	
7770.623987	0.028819	
7770.625732	0.036518	
7770.627220	0.032872	
7770.629006	0.018587	
7770.630487	-0.001159	
7770.632252	0.007780	
7770.633727	0.001661	
7770.635484	-0.004712	
7770.636971	0.011711	
7770.638704	0.022173	
7770.640217	0.021371	
7770.641935	0.027075	
7770.643469	0.025621	
7770.645184	0.005089	
7770.646714	-0.005542	
7770.648402	-0.001699	
7770.649951	-0.005264	
7770.651624	-0.018364	
7770.653194	-0.006456	
7770.654862	0.015506	
7770.656460	0.009826	
7770.658124	0.008617	
7770.659709	0.018954	
7770.661347	-0.000059	
7770.662958	-0.012793	
7770.664581	-0.011907	
7770.666240	-0.018139	
7770.667829	-0.026675	
