time (s)	magX	magY	magZ
7860.410282	33.046169	-22.804796	17.146111
7860.413621	32.753941	-22.337233	17.263000
7860.416958	32.052597	-22.687902	16.444767
7860.420283	32.169487	-22.045004	16.736996
7860.423623	31.818815	-22.220343	17.087666
7860.426971	31.234364	-21.694330	17.379894
7860.430288	30.825245	-21.577440	17.379894
7860.433619	30.416128	-21.051435	16.503212
7860.436955	30.357683	-20.876097	16.678547
7860.440289	30.299238	-20.583872	16.736996
7860.443622	29.714785	-20.525423	16.912331
7860.446953	30.007011	-20.700762	16.327877
7860.450284	29.890120	-20.233198	16.094097
7860.453617	29.890120	-20.700762	16.444767
7860.456948	29.188776	-20.350092	16.035648
7860.461238	29.188776	-19.940969	15.626534
7860.464487	28.721214	-19.356516	16.269432
7860.467799	28.779659	-19.648748	15.451199
7860.471155	28.838104	-19.824080	15.860313
7860.474492	28.428988	-19.824080	16.853886
7860.477827	29.130331	-19.531855	16.444767
7860.480741	29.071886	-19.473406	15.743423
7860.484063	28.487432	-20.057859	16.386322
7860.487412	28.195204	-19.824080	16.269432
7860.490725	28.195204	-19.590300	15.977203
7860.494052	27.727642	-19.181181	16.620102
7860.496949	28.136759	-19.531855	15.684978
7860.500278	28.019867	-19.414965	15.684978
7860.503616	27.552305	-19.590300	16.035648
7860.506948	27.727642	-19.239626	15.860313
7860.510281	27.493860	-19.005846	16.327877
7860.513641	27.260078	-18.655172	16.094097
7860.516941	27.493860	-18.947401	16.094097
7860.520285	27.376968	-19.298075	16.444767
7860.523609	27.084743	-19.064291	15.275860
7860.526941	27.026297	-18.772062	16.503212
7860.530274	27.084743	-18.713617	16.620102
7860.533614	26.967852	-18.655172	15.568089
7860.536945	26.967852	-19.181181	16.269432
7860.540275	27.143188	-18.421392	15.743423
7860.543610	27.727642	-18.772062	15.918758
7860.546973	27.669195	-19.414965	15.860313
7860.550276	27.727642	-19.181181	16.210987
7860.553606	27.727642	-19.239626	16.327877
7860.556957	27.493860	-19.181181	16.503212
7860.560271	27.961422	-19.473406	16.210987
7860.563613	28.078314	-19.356516	15.918758
7860.566937	28.195204	-20.233198	15.743423
7860.570275	28.253651	-19.239626	16.620102
