time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6738.129084	233.459900	-0.033270	0.100000	223
6740.149370	321.063110	1.964935	-0.076836	225
6742.175748	321.808716	1.761485	-0.082722	227
6744.224109	320.325531	1.587261	-0.090534	229
6746.278153	318.562988	1.447241	-0.082185	231
6748.303684	319.383270	1.388400	-0.070432	233
6750.318969	320.496033	1.264181	-0.070580	235
6752.343775	320.572693	1.107645	-0.068743	237
6754.386191	320.050690	0.982765	-0.065995	239
6756.438540	319.625214	0.875876	-0.063808	241
6758.493161	319.755249	0.778104	-0.059615	243
6760.540322	320.150391	0.692452	-0.053829	245
6762.581881	320.724365	0.614053	-0.049573	247
6764.622493	321.355560	0.544898	-0.046053	249
6766.660065	321.924316	0.486276	-0.043234	251
6768.684874	321.604706	0.439068	-0.039914	253
6770.692479	320.050995	0.398004	-0.034624	255
6772.681478	316.983093	0.347724	-0.031906	1
6774.678259	313.883087	0.289168	-0.031260	3
