crossing time (s)	slope (V/s)	crossing number
8408.004751	-161.412711	4412
8409.051187	-155.876486	4413
8410.044633	-157.129071	4414
8411.033605	-155.139901	4415
8412.068755	-156.453582	4416
8413.059918	-148.181331	4417
8414.131021	-152.219707	4418
8415.117062	-155.669341	4419
8416.120759	-154.867084	4420
8417.168312	-144.186691	4421
8418.162054	-148.113334	4422
8419.210167	-147.348620	4423
8420.174557	-140.928265	4424
8421.223154	-142.027039	4425
8422.216059	-143.244308	4426
8423.264614	-137.561321	4427
8424.268482	-137.843808	4428
8425.269371	-136.012842	4429
8426.290456	-133.863194	4430
8427.295648	-138.667776	4431
8428.343181	-129.138038	4432
8429.339324	-126.659221	4433
8430.376747	-125.082368	4434
8431.373864	-120.361585	4435
8432.393006	-122.239947	4436
8433.429484	-112.722902	4437
8434.412620	-115.311641	4438
8435.431727	-111.202821	4439
8436.434881	-106.536567	4440
8437.518971	-99.463096	4441
8438.452452	-101.821045	4442
8439.519750	-92.076187	4443
8440.517585	-87.130486	4444
8441.531438	-86.211689	4445
8442.551684	-83.319845	4446
8443.575333	-83.109163	4447
8444.612484	-76.537055	4448
8445.564013	-72.969302	4449
8446.614297	-71.110607	4450
8447.650391	-65.012674	4451
8448.630579	-67.328474	4452
8449.699610	-58.442955	4453
8450.665017	-61.066056	4454
8451.710376	-58.745168	4455
8452.718440	-54.192248	4456
8453.722354	-58.406465	4457
8454.788793	-54.824542	4458
8455.729561	-49.848754	4459
8456.777504	-48.003302	4460
8457.760724	-43.124334	4461
8458.840335	-43.622551	4462
8459.824571	-37.314032	4463
8460.837127	-39.665686	4464
8461.882982	-38.508561	4465
8462.846209	-35.213163	4466
8463.933834	-33.170111	4467
8464.875236	-32.973473	4468
8465.959259	-30.981017	4469
8466.912326	-29.733385	4470
8467.982097	-29.715430	4471
8468.959080	-26.243191	4472
