time (s)	magX	magY	magZ
3414.603830	42.455856	13.957283	-4.537102
3414.607172	42.572746	13.548166	-4.595547
3414.610515	42.631191	13.548166	-4.420212
3414.613831	41.754513	14.132620	-4.770884
3414.617164	42.046738	14.307955	-4.186430
3414.620497	41.403839	14.483292	-4.653994
3414.623830	41.462284	13.898838	-5.121555
3414.627162	40.936275	14.191065	-5.004665
3414.630492	41.111610	13.840393	-5.296892
3414.633844	41.170059	13.957283	-5.647564
3414.637163	41.286949	13.781946	-5.589119
3414.640525	41.228504	14.132620	-5.121555
3414.643829	41.111610	13.898838	-4.420212
3414.647161	41.462284	14.249510	-4.887774
3414.650495	41.345394	13.840393	-4.303322
3414.653828	41.637619	14.132620	-4.127985
3414.657160	41.462284	13.957283	-4.595547
3414.660494	41.228504	13.957283	-4.127985
3414.663832	41.754513	14.307955	-3.485086
3414.667158	41.812958	13.898838	-3.660421
3414.670515	41.637619	13.957283	-4.361767
3414.673823	41.988293	14.015728	-4.653994
3414.678507	41.520729	14.249510	-4.011095
3414.681403	41.111610	14.132620	-4.420212
3414.684759	41.812958	13.957283	-4.770884
3414.688001	42.222076	14.132620	-4.770884
3414.691346	42.046738	14.132620	-5.063110
3414.694681	41.929848	13.372829	-3.952648
3414.697589	41.988293	14.307955	-4.712439
3414.700909	42.455856	14.191065	-4.244875
3414.704302	42.806526	15.009300	-4.420212
3414.707602	43.215645	14.658627	-4.887774
3414.710935	43.215645	14.424847	-4.829329
3414.714272	43.624763	14.541737	-3.894203
3414.717156	43.332535	14.249510	-3.718868
3414.720492	43.858543	14.366400	-5.063110
3414.723821	45.027451	14.717073	-4.537102
3414.727157	44.735222	15.126191	-4.244875
3414.730483	45.144341	15.359973	-3.485086
3414.733819	44.969006	16.061317	-3.835758
3414.737150	45.611904	15.885981	-3.543531
3414.740489	46.547031	16.236652	-4.420212
3414.743820	47.248375	16.353542	-4.537102
3414.747155	48.300392	16.821106	-3.718868
3414.750484	48.709507	16.937996	-3.251305
3414.753818	49.235516	17.522449	-3.309750
3414.757155	49.819969	16.879551	-2.725296
3414.760484	50.462868	17.405560	-3.017523
3414.763819	50.696651	17.873123	-2.900633
3414.767149	51.573330	18.399132	-2.783743
3414.770481	52.917576	18.866693	-2.433071
3414.773810	53.911144	18.983585	-1.790171
3414.777148	54.612488	19.977154	-2.257734
3414.780548	55.138496	19.977154	-2.433071
