time (s)	det(V)
4941.001132	0.010648	
4941.002693	0.007775	
4941.004401	0.008811	
4941.005910	0.011059	
4941.007667	0.007143	
4941.009144	0.003534	
4941.010919	0.005540	
4941.012399	0.003937	
4941.014170	0.002627	
4941.015649	0.005101	
4941.017439	0.011969	
4941.018929	0.008348	
4941.020691	0.010599	
4941.022185	0.011880	
4941.023937	0.010249	
4941.025449	0.004827	
4941.027172	0.007385	
4941.028698	0.007087	
4941.030421	0.003981	
4941.031968	0.005318	
4941.033655	0.010934	
4941.035203	0.010877	
4941.036898	0.010450	
4941.038446	0.012892	
4941.040115	0.012070	
4941.041699	0.007796	
4941.043348	0.007461	
4941.044959	0.007985	
4941.046574	0.005181	
4941.048209	0.007131	
4941.049832	0.011369	
4941.051475	0.013298	
4941.053095	0.012368	
4941.054766	0.012847	
4941.056359	0.014205	
4941.058036	0.010043	
4941.059620	0.009326	
4941.061297	0.011840	
4941.062874	0.009161	
4941.064546	0.008178	
4941.066040	0.012118	
4941.067583	0.015889	
4941.069099	0.013733	
4941.070709	0.015051	
4941.072225	0.016340	
4941.073802	0.014116	
4941.075341	0.010793	
4941.076881	0.010281	
4941.078492	0.013121	
4941.079979	0.010188	
4941.081609	0.010926	
4941.083130	0.015470	
4941.084774	0.017738	
4941.086262	0.016384	
4941.087980	0.018547	
4941.089452	0.018978	
4941.091198	0.013717	
4941.092670	0.013149	
4941.094388	0.015047	
4941.095864	0.014293	
4941.097570	0.011482	
4941.099062	0.015482	
4941.100784	0.019506	
4941.102265	0.019276	
4941.103953	0.019869	
4941.105474	0.021822	
4941.107226	0.018761	
4941.108740	0.016231	
4941.110462	0.016678	
4941.111985	0.016904	
4941.113693	0.014628	
4941.115245	0.016590	
4941.116946	0.021170	
4941.118504	0.020944	
4941.120181	0.021371	
4941.121759	0.022503	
4941.123431	0.023977	
4941.125024	0.020743	
4941.126659	0.019015	
4941.128262	0.020525	
4941.129898	0.018946	
4941.131520	0.019961	
4941.133123	0.023623	
4941.134802	0.024686	
4941.136401	0.025311	
4941.138059	0.025476	
4941.139657	0.027204	
4941.141317	0.023816	
4941.142892	0.021544	
4941.144591	0.022926	
4941.146152	0.022306	
4941.147872	0.021448	
4941.149433	0.023921	
4941.151121	0.028280	
4941.152656	0.028050	
4941.154371	0.028284	
4941.155888	0.030338	
4941.157658	0.026809	
4941.159135	0.024735	
4941.160911	0.026386	
4941.162397	0.026052	
4941.164180	0.023474	
4941.165662	0.027470	
4941.167447	0.033025	
4941.168930	0.031857	
4941.170706	0.032393	
4941.172192	0.034669	
4941.173955	0.031325	
4941.175459	0.028743	
4941.177186	0.029182	
4941.178710	0.029029	
4941.180407	0.028952	
4941.181945	0.030314	
4941.183640	0.036123	
4941.185204	0.035196	
4941.186892	0.035591	
4941.188452	0.036066	
4941.190128	0.039333	
4941.191687	0.037714	
4941.193351	0.035958	
4941.194953	0.040252	
4941.196575	0.038560	
4941.198197	0.037867	
4941.199813	0.042878	
4941.201460	0.043422	
4941.202938	0.042254	
4941.204578	0.045895	
4941.206062	0.046576	
4941.207702	0.045110	
4941.209205	0.041750	
4941.210815	0.044038	
4941.212322	0.044558	
4941.213950	0.043031	
4941.215458	0.042886	
4941.217022	0.048236	
4941.218600	0.050222	
4941.220095	0.050617	
4941.221725	0.050488	
4941.223285	0.053465	
4941.224902	0.048832	
4941.226446	0.048039	
4941.228115	0.050222	
4941.229584	0.046746	
4941.231317	0.048236	
4941.232789	0.054037	
4941.234522	0.056047	
4941.235989	0.056442	
4941.237701	0.057984	
4941.239206	0.059878	
4941.240971	0.056667	
4941.242460	0.054178	
4941.244242	0.056921	
4941.245721	0.056172	
4941.247509	0.054943	
4941.248988	0.061469	
4941.250756	0.064426	
4941.252237	0.062492	
4941.253960	0.065880	
4941.255461	0.065642	
4941.257174	0.065090	
4941.258697	0.064031	
4941.260396	0.062637	
4941.261938	0.063753	
4941.263629	0.061461	
4941.265179	0.063096	
4941.266855	0.069095	
4941.268416	0.070456	
4941.270090	0.067826	
4941.271684	0.066057	
4941.273352	0.067951	
4941.274940	0.062754	
4941.276587	0.059890	
4941.278192	0.061465	
4941.279823	0.056438	
