time (s)	magX	magY	magZ
7261.499108	45.553459	22.957869	15.918770
7261.502434	46.488586	23.308540	14.691418
7261.505771	45.787239	23.191650	15.275871
7261.509101	46.254803	23.483875	15.509655
7261.512435	45.728794	23.250095	15.626545
7261.515769	45.845688	23.776104	15.042091
7261.519104	46.430138	23.717657	15.860325
7261.523729	46.196358	23.951439	14.866756
7261.526639	46.722366	23.717657	14.574528
7261.530064	46.430138	24.419003	14.457638
7261.533347	46.547031	23.951439	14.516083
7261.536706	46.547031	23.717657	13.814739
7261.539955	46.780811	24.068329	14.223858
7261.542858	47.014595	24.243666	13.814739
7261.546193	47.131485	24.185221	14.516083
7261.549534	47.306820	24.360558	13.931629
7261.552872	47.949718	24.126776	13.288731
7261.556189	47.540600	24.360558	13.464066
7261.559098	47.774384	24.185221	14.106964
7261.562432	47.949718	24.594337	13.990074
7261.565765	47.949718	24.886564	13.580956
7261.569106	48.358837	24.945011	14.106964
7261.572442	49.235516	24.711229	14.282303
7261.575765	48.884846	25.412573	13.814739
7261.579099	48.884846	25.295681	13.814739
7261.582431	49.293961	25.471018	14.340748
7261.585758	49.586189	26.289253	13.990074
7261.589097	49.644634	25.938581	14.048519
7261.592424	50.053753	26.406143	14.866756
7261.595758	49.819969	26.698370	13.814739
7261.599098	49.995308	26.815262	14.106964
7261.602425	50.521313	26.756817	14.808308
7261.605757	50.871986	26.756817	13.931629
7261.609092	51.222660	26.581480	13.697849
7261.612426	52.040894	27.282824	13.639404
7261.615770	52.157784	27.750387	14.691418
7261.619089	54.086479	28.334841	13.522511
7261.622424	54.320263	28.627068	13.756294
7261.625755	54.963161	28.860849	13.873184
7261.629091	55.430725	29.269966	13.347176
7261.632423	56.190514	29.854420	13.522511
7261.635761	57.417866	29.912865	13.697849
7261.639087	58.177654	30.672655	12.295158
7261.642426	58.820557	31.841562	13.580956
7261.645756	59.463455	32.250679	12.587387
7261.649093	59.580345	32.835133	12.412052
7261.652421	61.275261	33.419586	12.470497
7261.657076	62.853283	34.471603	11.126255
7261.659995	63.846855	34.997612	10.424908
7261.663301	64.489754	35.698956	10.015793
7261.666686	65.834000	35.874290	9.957348
7261.670028	66.944458	36.224964	8.963774
7261.673273	68.580925	37.627651	9.139109
7261.676178	69.340721	38.036770	8.320875
7261.679514	70.568069	38.387440	7.970201
7261.682864	71.620087	39.381012	6.742851
7261.686174	72.847443	39.907021	6.976631
7261.689517	74.250130	40.725254	6.742851
7261.692840	75.711258	41.251263	6.275288
7261.695750	76.295715	42.361725	6.567514
7261.699085	78.341301	43.705971	6.801296
7261.702434	79.334869	44.115086	5.047935
7261.705754	80.620674	44.407310	4.872601
7261.709099	82.023361	45.342438	4.171255
7261.712415	83.718277	46.277565	3.703693
7261.715750	85.237854	47.388027	3.820583
7261.719083	87.283447	48.323151	2.768566
7261.722411	88.627686	49.141388	2.242558
7261.725744	90.381042	50.193405	1.774996
7261.729075	91.666840	50.719410	1.424324
7261.732447	93.537094	52.297436	-0.445927
7261.735747	95.582687	52.472771	-0.738153
7261.739079	97.862053	53.349449	-1.614834
7261.742417	99.264740	55.044365	-2.900633
7261.745769	101.251877	55.745712	-3.075970
7261.749081	103.531250	57.615963	-3.894203
7261.752408	105.985954	58.667976	-4.595547
7261.755746	108.031540	59.778442	-5.706009
7261.759076	110.194023	61.590248	-7.342480
7261.762405	112.356499	62.759155	-8.277605
7261.765741	115.570992	64.570961	-9.095840
7261.769074	118.259476	66.850327	-10.556973
7261.772451	120.947968	67.843903	-12.719452
7261.775772	124.104012	69.772598	-13.537686
7261.779073	126.617165	71.467506	-15.583275
7261.782407	130.182343	73.220871	-17.687307
7261.785750	133.630615	75.324905	-19.674450
7261.790371	140.234924	79.942085	-23.707178
7261.793291	144.852112	81.812340	-26.571001
7261.796633	148.826401	84.442375	-29.493267
7261.799944	151.865555	86.371078	-32.883099
7261.803339	156.599640	89.001122	-35.863811
7261.806704	160.398575	91.572716	-39.136753
7261.809930	164.548203	93.618301	-42.760365
7261.812828	168.639374	96.715904	-45.682632
7261.816161	174.250122	98.878387	-49.247799
7261.819531	178.165970	101.917542	-53.631199
7261.822827	183.484497	104.313805	-57.547039
7261.826163	188.510803	106.768509	-61.696655
7261.829071	193.244873	109.866112	-67.073631
7261.832409	198.504944	112.613045	-71.106354
7261.835735	203.531250	115.710648	-76.249550
7261.839069	209.025116	118.749809	-81.977196
7261.842405	214.343628	121.788963	-86.828163
7261.845739	219.486816	125.354134	-92.906479
7261.849135	225.331360	128.451721	-98.984795
7261.852407	230.416107	131.023331	-104.946220
7261.855728	237.078888	135.056061	-112.251884
7261.859070	241.871399	138.153656	-119.206886
7261.862418	248.008148	141.134369	-126.804779
7261.865728	254.144928	144.407318	-133.935120
7261.869067	259.872589	148.147812	-142.760376
7261.872403	266.067780	152.297424	-152.170074
7261.875743	271.503204	155.336594	-160.703094
7261.879062	277.815277	159.544662	-170.872589
7261.882401	283.659821	162.992935	-181.042084
7261.885729	290.556366	167.200989	-191.328461
7261.889068	297.043823	171.058395	-202.374634
7261.892417	303.122131	175.032669	-214.940369
7261.895733	308.966675	178.831619	-227.447693
7261.899060	315.454102	183.390350	-240.247223
7261.902395	321.766205	187.306198	-254.215668
7261.905731	328.253662	190.929810	-269.352997
7261.909067	334.390411	195.722336	-284.782562
7261.912392	339.942719	199.930389	-301.556366
7261.915743	345.495026	203.670898	-319.382202
7261.919087	350.755096	207.586731	-337.850952
7261.923666	361.625946	214.775513	-376.950897
7261.927026	366.301575	218.282242	-398.458771
7261.929942	370.451202	221.496719	-420.258911
7261.933265	374.074799	224.360550	-443.052612
7261.936706	377.347748	226.932144	-466.547607
7261.940000	379.334869	229.153076	-491.328461
7261.943321	380.270020	230.205078	-516.635315
7261.946152	381.088226	231.783112	-541.240784
7261.949503	380.679138	232.542908	-567.833435
7261.952815	379.451782	232.192215	-595.478088
7261.956145	377.406189	232.075348	-622.070740
7261.959485	373.724121	230.731094	-649.189392
7261.962392	369.399170	228.919296	-676.249573
7261.965728	363.613098	226.230804	-704.712463
7261.969056	357.710114	223.542328	-730.486877
7261.972384	349.001740	220.210937	-759.475769
7261.975727	339.358246	215.067749	-786.769714
7261.979083	328.604309	210.099884	-813.713013
7261.982384	316.739899	203.787796	-840.714844
7261.985720	303.063690	197.826355	-866.430786
7261.989052	288.043243	190.579147	-890.685547
7261.992407	272.379883	182.630569	-916.226196
7261.995720	254.904724	173.045532	-939.721191
7261.999057	236.669769	164.161835	-961.287598
7262.002396	216.038544	154.401459	-982.269470
7262.005727	195.465790	142.478607	-1002.140930
7262.009058	172.496765	131.315552	-1021.544739
7262.012386	148.534180	119.626480	-1037.091187
7262.015716	123.987122	106.885399	-1051.702515
7262.019048	98.621841	93.793640	-1065.729492
7262.022386	72.262985	80.409653	-1076.658691
