time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
7462.884518	208.448380	2.092592	-0.060045	25
7464.929032	210.539536	1.925512	-0.046391	27
7466.964523	209.667175	1.836067	-0.053150	29
7468.999067	208.415466	1.704150	-0.045785	31
7471.037663	208.806778	1.580665	-0.043901	33
7473.073900	209.272400	1.461659	-0.041515	35
7475.112932	209.580078	1.338500	-0.040658	37
7477.159428	208.197784	1.225329	-0.039677	39
7479.192207	209.164230	1.146859	-0.027820	41
7481.229674	209.315063	1.016240	-0.038718	43
7483.273764	208.014542	0.950205	-0.022283	45
7485.302468	209.969177	0.840465	-0.031929	47
7487.355796	207.442062	0.768346	-0.021109	49
7489.377661	209.783646	0.699360	-0.017917	51
7491.422172	208.930420	0.611149	-0.019998	53
7493.475543	207.948914	0.549656	-0.014679	55
7495.517143	208.311707	0.493450	-0.011793	57
7497.559439	208.780228	0.439911	-0.010845	59
7499.600473	209.077698	0.395888	-0.009645	61
