time (s)	magX	magY	magZ
8234.515580	-101.728844	-59.216293	6.099951
8234.518878	-100.793694	-58.047386	6.625959
8234.522218	-98.923454	-57.346046	7.677975
8234.525130	-97.696114	-56.469368	8.262428
8234.528458	-96.293419	-55.534241	9.606672
8234.531792	-94.130943	-54.716003	9.665119
8234.535156	-93.078911	-53.780884	10.600246
8234.538455	-90.974892	-52.904198	11.126255
8234.541787	-89.747536	-52.319748	11.476925
8234.545123	-88.578621	-51.267731	12.704277
8234.548455	-86.649940	-50.683273	12.528942
8234.551790	-85.305687	-50.274155	13.990074
8234.555125	-84.429008	-48.871468	13.931629
8234.558453	-82.909416	-48.345459	14.282303
8234.561789	-81.272957	-47.585670	15.275871
8234.565163	-80.337822	-46.884323	15.568100
8234.568457	-78.701363	-46.066093	16.035660
8234.571789	-78.175362	-45.773865	16.210999
8234.575121	-77.415565	-44.955635	16.795452
8234.578472	-76.012886	-44.312729	16.970787
8234.581787	-75.545311	-44.254288	17.730576
8234.585122	-73.967285	-43.085381	16.795452
8234.588454	-73.908844	-42.968491	17.789021
8234.591785	-72.447708	-42.384041	17.672131
8234.595120	-72.272377	-42.091812	17.321457
8234.598454	-71.278801	-42.033363	17.905910
8234.601785	-70.402122	-41.624245	17.847466
8234.605117	-69.817665	-41.624245	17.029232
8234.608449	-69.525436	-41.507355	17.379906
8234.611782	-68.648758	-41.390465	17.613686
8234.615122	-68.531876	-41.156685	17.613686
8234.618447	-67.830528	-40.806007	17.847466
8234.621784	-67.538300	-40.163109	17.204567
8234.626066	-66.486282	-40.279999	17.263012
8234.629310	-66.310944	-39.578659	17.379906
8234.632649	-66.369392	-39.461769	17.438351
8234.635959	-66.077164	-39.403320	17.146122
8234.639351	-65.784935	-39.637108	16.853897
8234.642650	-65.258934	-38.818871	17.146122
8234.645563	-64.616028	-38.701981	16.970787
8234.648893	-64.791359	-39.403320	17.672131
8234.652244	-64.265366	-39.344872	16.970787
8234.655548	-64.206917	-38.643532	17.438351
8234.658873	-63.680901	-38.877312	17.496796
8234.661778	-63.447121	-38.760422	17.146122
8234.665118	-63.096458	-38.585091	16.795452
8234.668441	-63.096458	-38.760422	16.678558
8234.671781	-63.038010	-38.059074	16.561668
