time (s)	det(V)
8234.513581	0.026576	
8234.515297	0.020924	
8234.516782	0.020936	
8234.518482	0.020944	
8234.519965	0.018584	
8234.521693	0.018475	
8234.523178	0.022241	
8234.524890	0.022447	
8234.526370	0.020964	
8234.528141	0.024376	
8234.529615	0.022954	
8234.531380	0.018132	
8234.532860	0.017085	
8234.534645	0.016239	
8234.536149	0.014531	
8234.537892	0.013737	
8234.539403	0.017891	
8234.541133	0.019421	
8234.542650	0.018128	
8234.544370	0.019965	
8234.545907	0.021613	
8234.547606	0.016690	
8234.549160	0.013842	
8234.550841	0.016674	
8234.552410	0.013524	
8234.554089	0.011993	
8234.555659	0.015542	
8234.557287	0.018451	
8234.558883	0.017427	
8234.560514	0.018358	
8234.562130	0.019715	
8234.563739	0.017520	
8234.565409	0.013524	
8234.567010	0.014249	
8234.568658	0.013822	
8234.570263	0.012380	
8234.571928	0.013214	
8234.573493	0.019216	
8234.575193	0.017963	
8234.576744	0.017524	
8234.578448	0.019881	
8234.579998	0.019836	
8234.581713	0.014197	
8234.583237	0.012871	
8234.584988	0.014886	
8234.586493	0.011981	
8234.588258	0.013024	
8234.589735	0.017669	
8234.591519	0.019220	
8234.592997	0.017508	
8234.594780	0.021234	
8234.596261	0.020203	
8234.598011	0.015913	
8234.599508	0.014934	
8234.601271	0.015268	
8234.602774	0.013335	
8234.604530	0.012666	
8234.606041	0.016847	
8234.607754	0.019006	
8234.609284	0.017178	
8234.610999	0.019143	
8234.612540	0.020618	
8234.614251	0.016166	
8234.615814	0.013431	
8234.617510	0.015546	
8234.619068	0.013149	
8234.620749	0.009995	
8234.622329	0.013411	
8234.623980	0.018543	
8234.625576	0.016412	
8234.627093	0.016726	
8234.628727	0.018165	
8234.630202	0.016972	
8234.631855	0.011409	
8234.633326	0.011590	
8234.634961	0.012223	
8234.636437	0.008553	
8234.638088	0.009238	
8234.639586	0.012730	
8234.641172	0.013951	
8234.642711	0.012340	
8234.644267	0.013592	
8234.645834	0.015546	
8234.647423	0.010728	
8234.649017	0.006793	
8234.650602	0.007332	
8234.652195	0.004932	
8234.653725	0.004496	
8234.655364	0.005491	
8234.656843	0.010321	
8234.658558	0.009665	
8234.660045	0.009040	
8234.661751	0.010922	
8234.663290	0.010938	
8234.664997	0.003892	
8234.666494	0.003646	
8234.668234	0.003610	
8234.669718	-0.000378	
8234.671489	0.001056	
8234.672970	0.004839	
8234.674734	0.006184	
8234.676215	0.005181	
8234.677987	0.006720	
8234.679474	0.007719	
8234.681206	0.002084	
8234.682717	-0.001333	
8234.684435	0.001052	
8234.685958	-0.001925	
8234.687682	-0.001147	
8234.689236	0.000992	
8234.690943	0.005250	
8234.692491	0.002587	
8234.694175	0.005568	
8234.695739	0.005234	
8234.697402	0.002410	
8234.698989	-0.001397	
8234.700618	0.000750	
8234.702217	-0.001067	
8234.703836	-0.002743	
8234.705455	-0.000591	
8234.707064	0.003582	
8234.708703	0.002422	
8234.710306	0.003179	
8234.711958	0.005870	
8234.713540	0.003397	
8234.715230	-0.001659	
8234.716784	-0.001123	
8234.718506	-0.001421	
8234.720054	-0.003592	
8234.721748	-0.002831	
8234.723285	0.002096	
8234.725003	0.002938	
8234.726512	0.002196	
8234.728268	0.004472	
8234.729741	0.004069	
8234.731500	-0.000660	
8234.732972	-0.001530	
8234.734747	-0.000019	
8234.736226	-0.002134	
8234.737959	-0.004060	
8234.739447	0.000255	
8234.741174	0.003175	
8234.742689	0.002112	
8234.744420	0.003578	
8234.745943	0.004968	
8234.747647	0.000464	
8234.749191	-0.002009	
8234.750890	0.001306	
8234.752441	-0.001921	
8234.754107	-0.004201	
8234.755685	-0.001739	
8234.757322	0.003195	
8234.758953	0.001793	
8234.760452	0.003804	
8234.762104	0.004795	
8234.763599	0.001471	
8234.765221	-0.001856	
8234.766707	-0.002779	
8234.768349	-0.002263	
8234.769845	-0.004684	
8234.771491	-0.004285	
8234.772972	-0.000962	
8234.774582	0.001435	
8234.776078	-0.000906	
8234.777644	0.001036	
8234.779198	0.003099	
8234.780813	-0.001486	
8234.782378	-0.004994	
8234.783942	-0.004680	
8234.785554	-0.005300	
8234.787088	-0.007814	
8234.788755	-0.006279	
8234.790235	-0.002054	
8234.791941	-0.002742	
8234.793414	-0.003141	
8234.795124	-0.003101	
8234.796674	-0.002743	
8234.798383	-0.008072	
8234.799935	-0.007838	
8234.801627	-0.007854	
8234.803139	-0.010690	
8234.804908	-0.011814	
8234.806388	-0.006505	
8234.808156	-0.005635	
8234.809636	-0.006565	
8234.811414	-0.005876	
